SubNum,trialNumber,originalTrial,infoNorm,infoValue,choice,randNum,trialEV,trialVar,Card1,Card2,Card3,Card4,Card5,Card6,newCard1,newCard2,newCard3,newCard4,newCard5,newCard6
1,1,9,0.35,0,2,0.069124105,0.666666667,3.614784456,2,-1,7,-3,1,-2,999,999,7,-3,999,-2
1,2,27,0.5,0,1,0.955218013,-1,5.513619501,1,-5,-8,6,4,-4,999,-5,-8,999,999,-4
1,3,37,0.616666667,0,2,1.435199359,-1,6.387487769,-8,4,-2,-9,3,6,999,4,-2,999,3,999
1,4,50,1,0,2,0.535295718,0.166666667,6.306081721,4,-4,2,-1,-9,9,4,999,2,-1,999,999
1,5,63,0.766666667,0,2,0.555885736,0.666666667,6.282250128,-7,3,6,-3,9,-4,999,999,6,-3,999,-4
1,6,161,0.466666667,0,1,0.231663594,-1,5.138093031,2,8,-2,-5,-4,-5,999,999,999,-5,-4,-5
1,7,315,0.7,0.037109375,1,1.369449685,-0.5,5.468089246,7,-9,-2,-3,2,2,999,-9,-2,-3,999,999
1,8,738,0.55,1.495442708,1,0.258828689,1,6.066300355,-2,-1,8,9,-2,-6,-2,999,999,9,-2,999
1,9,1564,0.65,0.072916667,1,1.321818106,-1.5,7.529940239,-9,8,-6,-4,-6,8,-9,999,-6,999,-6,999
1,10,1987,0.35,0,2,1.446045267,1.833333333,6.047037842,6,-2,-8,3,3,9,6,999,999,999,3,9
1,11,2253,0.35,0,1,0.053041725,-1.5,5.431390246,1,-7,-6,-5,7,1,1,999,999,-5,999,1
1,12,2638,0.15,0.014322917,2,0.69942319,2,4.732863826,3,1,6,-5,8,-1,999,999,6,-5,999,-1
1,13,3397,0.783333333,0,1,1.357240682,0.333333333,5.537749242,-8,-2,4,6,-3,5,999,-2,4,999,999,5
1,14,4342,0.85,0,2,0.139759884,0.666666667,7.174027228,4,-9,8,7,1,-7,999,-9,8,999,999,-7
1,15,4445,0.433333333,0.011067708,1,0.760293142,1.166666667,5.382068995,5,3,3,7,-6,-5,999,999,3,7,-6,999
1,16,5208,0.283333333,0,1,0.805794913,-1.666666667,5.202563471,6,-3,3,-5,-3,-8,6,999,999,-5,999,-8
1,17,5562,0.266666667,0,2,0.394789261,2.166666667,6.112828042,-6,2,9,-3,2,9,999,999,999,-3,2,9
1,18,7630,0,0,1,0.759476205,-2.833333333,4.020779361,-2,-8,-2,-5,4,-4,999,-8,999,999,4,-4
1,19,8301,0.366666667,0,2,0.431309748,1.166666667,4.956477244,5,7,-6,4,-2,-1,999,7,-6,999,-2,999
1,20,8409,0.65,0,2,1.020427547,1.5,7.556454195,8,5,-7,-9,8,4,999,999,999,-9,8,4
1,21,8627,0.433333333,0.030598958,2,1.305370142,2.666666667,7.711463328,-9,9,5,8,-5,8,999,9,5,999,-5,999
1,22,8879,0.133333333,0,2,0.186473633,2.666666667,5.573747991,6,-2,8,7,3,-6,999,-2,999,999,3,-6
1,23,9158,0,0,2,1.465110645,4.5,2.167948339,2,4,2,7,6,6,2,999,999,7,999,6
1,24,9517,0.766666667,0.893229167,1,1.126022426,-0.666666667,6.592925501,8,-9,1,1,3,-8,999,999,1,1,3,999
1,25,10355,0.15,0,2,1.05110314,2.166666667,5.671566509,6,-9,6,4,4,2,999,-9,999,4,999,2
1,26,10715,0,0.017578125,2,0.097878692,6,1.673320053,5,4,8,8,5,6,5,4,999,999,5,999
1,27,11214,0.333333333,0.0078125,1,0.47207048,-1.5,5.394441584,6,-9,-4,3,-4,-1,999,-9,-4,999,-4,999
1,28,11595,0,0.037109375,2,0.221914553,5,6.099180273,9,6,5,9,8,-7,9,999,999,9,8,999
1,29,12095,0.1,0,1,0.720928724,-1.666666667,3.444802849,1,-6,1,1,-6,-1,1,-6,1,999,999,999
1,30,12256,0.8,0,1,0.075544573,-0.666666667,6.439461675,6,6,-8,-4,3,-7,6,6,-8,999,999,999
1,31,12486,0,0.011067708,2,1.151891152,3.166666667,4.070217029,3,7,2,4,-4,7,999,999,999,4,-4,7
1,32,13139,0,0,1,0.250472335,-3.5,4.636809248,-5,1,-7,-4,-9,3,999,1,999,999,-9,3
1,33,15004,0,0,1,0.106255902,-4.166666667,4.355073669,-8,-4,-9,3,-2,-5,-8,999,999,999,-2,-5
1,34,15421,0,0,2,0.347206002,5.166666667,4.308905507,9,1,8,5,9,-1,999,999,999,5,9,-1
1,35,16015,0.066666667,0,2,1.387237221,2.666666667,4.676180778,-4,-1,6,9,3,3,-4,-1,999,999,3,999
1,36,16316,0.666666667,0.020833333,1,0.407340797,-1,6.899275324,8,-3,-4,7,-9,-5,8,-3,-4,999,999,999
1,37,16494,0.216666667,0,1,0.560880904,-2.333333333,5.785038173,-5,-7,-5,-6,1,8,-5,999,999,-6,999,8
1,38,16668,0.716666667,0,1,0.076086075,-1,6.693280212,-8,-6,9,3,-6,2,-8,999,9,999,999,2
1,39,16851,0.85,0.014322917,1,0.883560168,-0.5,6.473020933,-5,-6,8,6,-7,1,999,999,8,6,-7,999
1,40,16969,0.133333333,0,1,0.077995388,-2.5,5.431390246,6,-9,-7,1,-3,-3,6,999,999,1,999,-3
1,41,17801,0.783333333,0,1,1.040564395,-0.833333333,6.765106552,-7,-6,3,9,-7,3,-7,-6,999,999,999,3
1,42,18189,0.266666667,0.004557292,2,0.193438358,2.333333333,6.022181222,-5,5,9,3,7,-5,-5,999,999,3,7,999
1,43,18386,0.283333333,0,2,0.384517429,1.833333333,5.776388722,-9,7,4,2,6,1,-9,7,999,999,999,1
1,44,19025,0,0.02734375,1,0.045864908,-3.666666667,6.218252702,-9,-4,-9,-4,8,-4,999,-4,-9,-4,999,999
1,45,19470,0,0.0078125,1,1.468736405,-2.666666667,3.502380143,1,-1,-1,-8,-1,-6,1,999,999,-8,999,-6
1,46,19618,0.733333333,0.033854167,2,0.788452935,0.166666667,4.622409184,2,3,-2,-8,5,1,2,999,999,-8,5,999
1,47,20718,0.5,0.011067708,1,1.16843735,-1.333333333,6.282250128,5,-9,-4,-6,7,-1,5,-9,999,999,7,999
1,48,21035,0.033333333,0.056640625,2,0.09816811,3.5,5.924525297,5,9,3,9,2,-7,999,9,999,999,2,-7
1,49,21217,0.9,0,1,0.221876006,-0.333333333,6.345602152,8,-9,-1,4,-6,2,999,-9,999,4,-6,999
