SubNum,TrialNumber,Card1,Card2,Card3,Card4,Card5,Card6,EV,std,infoS,infoValue,infoS_normalized
3299,6,6,-5,-7,1,-1,-3,-1.5,4.63680924774785,0.007075472,0.233333333,-0.742944500673924
3299,100,9,-9,8,-9,-1,1,-0.166666666666667,7.85917722580848,1.418238994,1.15,2.69169687454288
3299,99,6,-7,-9,2,8,-1,-0.166666666666667,6.85322308601337,1.354363208,1.033333333,2.53622912466854
3299,20,1,-4,9,4,1,2,2.16666666666667,4.26223728418147,0.003144654,0.066666667,-0.752511747793601
3299,35,-5,-3,-5,-8,-4,-9,-5.66666666666667,2.33809038890002,0.003144654,0,-0.752511747793601
3299,19,5,-4,-1,-2,8,8,2.33333333333333,5.3166405433005,1.371069182,0.133333333,2.57688991884239
3299,15,2,-3,1,9,-9,-2,-0.333333333333333,5.98887858172685,1.35043239,0.866666667,2.52666187754886
3299,57,3,-1,5,-4,-9,-2,-1.33333333333333,5.00666222813829,0.098466981,0.316666667,-0.520506028263568
3299,77,-1,3,5,8,-7,7,2.5,5.64800849857718,0.326454403,0.15,0.0343942511317029
3299,93,5,-6,8,-9,4,-4,-0.333333333333333,6.88960569747403,1.294418239,1.033333333,2.39032861947996
3299,5,6,-8,6,-1,5,5,2.16666666666667,5.63619256827396,0.005110063,0.233333333,-0.747728124233763
3299,67,5,4,9,4,-4,-8,1.66666666666667,6.34560215162176,0.004127358,0.433333333,-0.750119937230635
3299,16,-8,6,4,5,7,5,3.16666666666667,5.56477013601341,0.000196541,0,-0.759687181916404
3299,22,7,-6,-1,-1,-5,2,-0.666666666666667,4.76095228569523,0.006092767,0.5,-0.745336313670797
3299,90,3,-5,9,-9,-8,9,-0.166666666666667,8.25631071766722,1.304245283,1.35,2.41424673484524
3299,56,-4,-2,-5,5,-8,-7,-3.5,4.67974358271904,0.006092767,0,-0.745336313670797
3299,40,4,3,-7,7,1,1,1.5,4.72228758124704,0.00216195,0.25,-0.754903558356566
3299,73,4,-3,-7,-7,4,3,-1,5.32916503778969,1.076257862,0.433333333,1.85934645788388
3299,84,1,-5,-8,9,-8,8,-0.5,7.71362431027076,0.927869497,1.05,1.49818291440775
3299,2,3,-7,6,-6,1,7,0.666666666666667,5.95538971576728,0.018867925,0.666666667,-0.714242761748803
3299,81,-8,-9,8,1,-3,9,-0.333333333333333,7.73735527597555,1.34158805,1.1,2.50513557274654
3299,23,2,-6,5,3,-1,-3,0,4.09878030638384,0.870872642,0.7,1.35945784577589
3299,87,4,9,-9,9,-9,-5,-0.166666666666667,8.54205283679905,0.779481132,1.416666667,1.13701937093163
3299,44,6,-8,-1,-1,5,-3,-0.333333333333333,5.20256347070045,0.753930818,0.733333333,1.07483227195545
3299,53,4,-8,-6,-1,-7,2,-2.66666666666667,5.04645089807348,0.00216195,0.083333333,-0.754903558356566
3299,3,1,-3,-6,8,-7,3,-0.666666666666667,5.75036230742609,0.75884434,0.683333333,1.08679132963809
3299,52,9,1,1,7,-4,1,2.5,4.72228758124704,0.008058176,0.1,-0.740552690110959
3299,97,2,9,-5,-7,8,-8,-0.166666666666667,7.57407860182786,0.007075472,1.216666667,-0.742944500673924
3299,75,9,-8,-8,1,5,4,0.5,7.06399320497974,0.69202044,0.916666667,0.924148143207038
3299,61,1,-6,4,-4,-7,1,-1.83333333333333,4.44597195972564,0.583922956,0.133333333,0.661048874188917
3299,80,3,-1,-7,-5,2,-2,-1.66666666666667,3.8815804341359,0.005110063,0.116666667,-0.747728124233763
3299,83,-4,3,8,-9,-8,8,-0.333333333333333,7.71146332849134,0.508254717,1.166666667,0.476879385389451
3299,78,-8,9,1,-8,9,-3,0,7.74596669241483,0.465015723,1.266666667,0.37163967680864
3299,98,8,3,-7,-9,9,-9,-0.833333333333333,8.49509662491644,0.604559748,1.083333333,0.71127691548245
3299,25,-1,7,3,4,2,5,3.33333333333333,2.73252020425589,0.00216195,0,-0.754903558356566
3299,49,-3,2,-4,6,-2,9,1.33333333333333,5.27888877195444,0.675314465,0.366666667,0.883487346599274
3299,68,9,-3,6,-1,8,7,4.33333333333333,5.04645089807348,0.006092767,0,-0.745336313670797
3299,76,2,3,-3,-1,-5,-3,-1.16666666666667,3.12516666222246,0.001179245,0.133333333,-0.757295371353439
3299,21,-7,8,-4,-1,-1,-6,-1.83333333333333,5.41910201663215,0.001179245,0.233333333,-0.757295371353439
3299,55,-7,6,8,-3,-8,-9,-2.16666666666667,7.41395081361258,0.00216195,0.483333333,-0.754903558356566
3299,12,-7,-2,-8,-8,-6,9,-3.66666666666667,6.59292550137393,0.003144654,0.016666667,-0.752511747793601
3299,51,2,-2,2,-6,-3,-8,-2.5,4.08656334834051,0.005110063,0.05,-0.747728124233763
3299,62,9,2,9,1,-4,-1,2.66666666666667,5.3166405433005,0.009040881,0.133333333,-0.738160877114086
3299,42,5,-1,5,3,3,-4,1.83333333333333,3.60092580688171,0.009040881,0.066666667,-0.738160877114086
3299,17,-3,7,3,-5,-9,8,0.166666666666667,6.88234456175123,0.008058176,1.083333333,-0.740552690110959
3299,13,-1,-2,1,3,-6,-2,-1.16666666666667,3.06050104830347,0.001179245,0.116666667,-0.757295371353439
3299,54,4,6,7,5,4,1,4.5,2.07364413533277,0.014937107,0,-0.723810008868479
