TrialNumber,Card1,Card2,Card3,Card4,Card5,Card6,Mean_EV,StdDev,Mean_ChoiceRT,Mean_ChoiceRT_Normalized,NumSubjects
1,7,2,3,2,1,-6,1.5,4.23083916,2.06436,-0.694661552,40
2,3,-7,6,-6,1,7,0.666666667,5.955389716,4.1150625,0.010429195,40
3,1,-3,-6,8,-7,3,-0.666666667,5.750362307,5.9200425,0.522338472,40
4,-9,8,-9,7,-2,-9,-2.333333333,8.091147426,2.9272825,-0.42982229,40
5,6,-8,6,-1,5,5,2.166666667,5.636192568,3.46879,-0.206979212,40
6,6,-5,-7,1,-1,-3,-1.5,4.636809248,3.41335,-0.439863318,40
7,6,-7,2,1,-5,6,0.5,5.468089246,3.960565,-0.127022754,40
8,2,4,8,-3,-8,5,1.333333333,5.853773712,4.3582775,-0.090562043,40
9,-4,-5,-1,-1,-8,-1,-3.333333333,2.875181154,1.9553075,-0.792230086,40
10,-2,-8,-7,4,-6,5,-2.333333333,5.680375574,2.6756375,-0.597256559,40
11,-9,-2,-4,3,7,1,-0.666666667,5.609515725,4.9899075,0.390668729,40
12,-7,-2,-8,-8,-6,9,-3.666666667,6.592925501,2.5136675,-0.74122424,40
13,-1,-2,1,3,-6,-2,-1.166666667,3.060501048,2.6935775,-0.51475718,40
14,6,1,-5,-3,-5,8,0.333333333,5.645056835,5.745285,0.578500991,40
15,2,-3,1,9,-9,-2,-0.333333333,5.988878582,5.1362575,0.303758394,40
16,-8,6,4,5,7,5,3.166666667,5.564770136,2.3894075,-0.631705777,40
17,-3,7,3,-5,-9,8,0.166666667,6.882344562,6.2710325,0.791478815,40
18,-7,1,8,1,-1,-5,-0.5,5.282045058,5.80806,0.457495591,40
19,5,-4,-1,-2,8,8,2.333333333,5.316640543,3.8357825,-0.107726293,40
20,1,-4,9,4,1,2,2.166666667,4.262237284,2.3693125,-0.641398671,40
21,-7,8,-4,-1,-1,-6,-1.833333333,5.419102017,2.7404775,-0.689765622,40
22,7,-6,-1,-1,-5,2,-0.666666667,4.760952286,5.1082,-0.204293785,40
23,2,-6,5,3,-1,-3,0,4.098780306,7.5352575,1.116459802,40
24,2,-6,-3,3,7,-6,-0.5,5.319774431,5.5515175,0.387962179,40
25,-1,7,3,4,2,5,3.333333333,2.732520204,1.8553325,-0.790656617,40
26,-8,-7,4,-8,7,-3,-2.5,6.534523701,2.8208075,-0.455290243,40
27,-9,-3,7,-3,1,-3,-1.666666667,5.316640543,2.7005075,-0.583067178,40
28,3,-5,-2,-9,9,5,0.166666667,6.705718952,5.9399775,0.627897954,40
29,-1,1,1,5,5,6,2.833333333,2.857738033,2.0561075,-0.714901889,40
30,-4,7,6,-1,3,-1,1.666666667,4.366539438,3.5317825,-0.187441131,40
